"from","to","KEGG","ReconX","HumanCyc","Reactome","OmniPath","weight","lapl_norm","lapl_norm_weight"
"JAK1","IRS2",NA,NA,NA,NA,"directed_stimulation",0.316666666666667,0.0721687836487032,0.0228534481554227
"TP53","HIF1A",NA,NA,NA,NA,"directed_stimulation",0.482666666666667,0.0197334259490965,0.00952466692476389
"VEGFA","HIF1A",NA,NA,NA,NA,"directed_stimulation",0.519666666666667,0.0468292905790847,0.0243356213375977
"BCL6","NCOR2",NA,NA,NA,NA,"directed_stimulation",0.402,0.117851130197758,0.0473761543394987
"RBPJ","NCOR2",NA,NA,NA,NA,"directed_stimulation",0.304333333333333,0.0481125224324688,0.014642244326948
"PPARA","NCOR2",NA,NA,NA,NA,"directed_stimulation",0.462666666666667,0.0608580619450185,0.0281569966598952
"BCL6","NCOR1",NA,NA,NA,NA,"directed_stimulation",0.393666666666667,0.0601929265428846,0.0236959487490489
"RCOR1","KDM1A",NA,NA,NA,NA,"directed_stimulation",0.385333333333333,0.0650944554904119,0.0250830635156387
"IKBKE","HSP90AB1",NA,NA,NA,NA,"directed",0.332,0.0909090909090909,0.0301818181818182
"CASP1","PAK1",NA,NA,NA,NA,"directed_stimulation",0.357666666666667,0.0785674201318386,0.0281009472671543
"JAK2","PAK1",NA,NA,NA,NA,"directed",0.48,0.0325300024316178,0.0156144011671765
"ESR1","PAK1",NA,NA,NA,NA,"directed_stimulation",0.407333333333333,0.0272165526975909,0.011086209132152
"NCK2","PAK1",NA,NA,NA,NA,"directed_stimulation",0.512,0.0680413817439772,0.0348371874529163
"SOCS3","RASA1",NA,NA,NA,NA,"directed_stimulation",0.223666666666667,0.0962250448649376,0.021522335034791
"PAK1","RHOU",NA,NA,NA,NA,"directed_stimulation",0.394333333333333,0.111111111111111,0.0438148148148148
"PRL","PAK2",NA,NA,NA,NA,"directed_stimulation",0.317666666666667,0.154303349962092,0.0490170308379579
"ZAP70","LCK",NA,NA,NA,NA,"directed_stimulation",0.644666666666667,0.0539163866017192,0.0347580972292416
"KIT","LCK",NA,NA,NA,NA,"directed_stimulation",0.491666666666667,0.0393749615479079,0.019359356094388
"SOCS3","LCK",NA,NA,NA,NA,"directed_stimulation",0.234333333333333,0.0359442577344795,0.00842293772911302
"PTPN6","LCK",NA,NA,NA,NA,"directed_stimulation",0.507666666666667,0.0369863360727655,0.0187767299462739
"ESR1","LCK",NA,NA,NA,NA,"directed_stimulation",0.347,0.0215665546406877,0.00748359446031863
"RASA1","LCK",NA,NA,NA,NA,"directed_stimulation",0.404,0.062257280636469,0.0251519413771335
"ZAP70","GAB2",NA,NA,NA,NA,"directed_stimulation",0.367333333333333,0.0615457454896664,0.0226078038432041
"PTPN6","GAB2",NA,NA,NA,NA,"directed",0.374666666666667,0.0422200330920749,0.0158184390651641
"JUN","FOS",NA,NA,NA,NA,"directed_stimulation",0.607333333333333,0.027116307227332,0.0164686372560663
"TP73","EP300",NA,NA,NA,NA,"directed_stimulation",0.373,0.0462250163521024,0.0172419310993342
"SP1","EP300",NA,NA,NA,NA,"directed",0.352666666666667,0.0234403615469248,0.00826663417221547
"NCOA3","EP300",NA,NA,NA,NA,"directed",0.315666666666667,0.0168168198499078,0.00530850946595423
"KAT2B","EP300",NA,NA,NA,NA,"directed_stimulation",0.494,0.0155043418236511,0.00765914486088362
"JUN","EP300",NA,NA,NA,NA,"directed",0.422,0.0155043418236511,0.00654283224958075
"ESR1","EP300",NA,NA,NA,NA,"directed",0.434333333333333,0.0196116135138184,0.00851797746950179
