,gene_symbol,entrez_id
304,KPNA1,3836
305,IRF7,3665
306,IRF3,3661
307,HSPA1A,3303
308,MUC1,4582
309,MMP9,4318
310,MMP2,4313
311,MMP1,4312
312,WWTR1,25937
313,USP9X,8239
314,USP1,7398
315,USP18,11274
316,USP15,9958
317,USP14,9097
318,USF1,7391
319,UHMK1,127933
320,UCHL5,51377
321,UBE2V1,7335
322,UBE2S,27338
323,UBE2N,7334
324,UBE2L6,9246
325,UBE2E1,7324
326,UBE2D3,7323
327,UBE2D2,7322
328,UBE2D1,7321
329,UBE2C,11065
330,UBC,7316
331,UBB,7314
332,UBA52,7311
333,TYK2,7297
334,TXN,7295
335,TXNIP,10628
336,TWIST1,7291
337,TULP3,7289
338,TUBB6,84617
339,TUBB4B,10383
340,TUBB4A,10382
341,TUBB3,10381
342,TUBB2B,347733
343,TUBB2A,7280
344,TUBB1,81027
345,TUBAL3,79861
346,TUBA4B,80086
347,TUBA4A,7277
348,TUBA3E,112714
349,TUBA3D,113457
350,TUBA3C,7278
351,TUBA1C,84790
352,TUBA1B,10376
353,TUBA1A,7846
354,TGS1,96764
355,TGIF2,60436
356,TGIF1,7050
357,TGFBR3,7049
358,TGFBR2,7048
359,TGFBR1,7046
360,TGFB1,7040
361,TGFA,7039
362,TFDP2,7029
363,TFDP1,7027
364,TCF7L2,6934
365,TCF7L1,83439
366,TCF7,6932
367,TCF3,6929
368,TCF12,6938
369,TBP,6908
370,TBL1XR1,79718
371,TBL1X,6907
372,TBK1,29110
373,TARBP2,6895
374,TAB3,257397
375,TAB2,23118
376,TAB1,10454
377,SYK,6850
378,SUZ12,23512
379,SUMO1,7341
380,STAT6,6778
381,STAT5B,6777
382,STAT5A,6776
383,STAT4,6775
384,STAT3,6774
385,STAT2,6773
386,STAT1,6772
387,STAG2,10735
388,STAG1,10274
389,SRXN1,140809
390,SMC3,9126
391,SMC1A,8243
392,SMARCD3,6604
393,SMAD7,4092
394,SMAD3,4088
395,SMAD2,4087
396,SKP1,6500
397,SKIL,6498
398,SIRT3,23410
399,SIRT1,23411
400,SIN3A,25942
401,SH3GL3,6457
402,SH3BP4,23677
403,SH2B1,25970
404,SGK1,6446
405,SFTPA2,729238
406,SFN,2810
407,SERPINE1,5054
408,SCMH1,22955
409,SAMHD1,25939
410,SALL4,57167
411,SAA1,6288
412,S1PR1,1901
413,S100B,6285
414,S100A12,6283
415,RXRA,6256
416,RUNX3,864
417,RUNX2,860
418,RUNX1,861
419,RRAGD,58528
420,RRAGC,64121
421,RRAGB,10325
422,RRAGA,10670
423,RPTOR,57521
424,RPS6KA5,9252
425,RPS6KA3,6197
426,RPS6KA2,6196
427,RPS6KA1,6195
428,RPS6,6194
429,RPS27A,6233
430,RORA,6095
431,PML,5371
432,PMEPA1,56937
433,PLXND1,23129
434,PKN2,5586
435,PIAS1,8554
436,PHC3,80012
437,PHC2,1912
438,PHC1,1911
439,PGR,5241
440,PGRMC2,10424
441,PELP1,27043
442,PDPK1,5170
443,PDGFRB,5159
444,PDGFRA,5156
445,PDGFB,5155
446,PDGFA,5154
447,PCBP2,5094
448,PBX1,5087
449,PAX5,5079
450,PARN,5073
451,P2RX7,5027
452,P2RX4,5025
453,NUB1,51667
454,NRIP1,8204
455,NRF1,4899
456,NRAS,4893
457,NR5A2,2494
458,NR3C1,2908
459,NR2E1,7101
460,NR1H3,10062
461,NR1D1,9572
462,NPM1,4869
463,NPAS2,4862
464,NOTCH4,4855
465,NOTCH3,4854
466,NOTCH2,4853
467,NOTCH1,4851
468,NOD2,64127
469,NOD1,10392
470,NLRX1,79671
471,NLRP3,114548
472,NLRC5,84166
473,NKIRAS2,28511
474,NKIRAS1,28512
475,NGFR,4804
476,NFYC,4802
477,NFYB,4801
478,NFYA,4800
479,NFKBIB,4793
480,NFKBIA,4792
481,NFKB2,4791
482,NFKB1,4790
483,NFE2L2,4780
484,NFATC3,4775
485,NFATC2,4773
486,NFATC1,4772
