gene_symbol
369,TAB3
370,TAB2
371,SYK
372,SUZ12
373,SUMO1
374,STAT6
375,STAT5B
376,STAT5A
377,STAT4
378,STAT3
379,STAT2
380,STAT1
381,STAG2
382,STAG1
383,SRXN1
384,SMC3
385,SMC1A
386,SMARCD3
387,SMAD7
388,SMAD3
389,SMAD2
390,SKP1
391,SKIL
392,SIRT3
393,SIRT1
394,SIN3A
395,SH3GL3
396,SH3BP4
397,SH2B1
398,SGK1
399,SFN
400,SERPINE1
401,SCMH1
402,SAMHD1
403,SALL4
404,SAA1
405,S100B
406,S100A12
407,RXRA
408,RUNX3
409,RUNX2
410,RUNX1
411,RRAGD
412,RRAGC
413,RRAGB
414,RRAGA
415,RPTOR
416,RPS6KA5
417,RPS6KA3
418,RPS6KA2
419,RPS6KA1
420,RPS6
421,RPS27A
422,RORA
423,PML
424,PMEPA1
425,PLXND1
426,PKN2
427,PIAS1
428,PHC3
429,PHC2
430,PHC1
431,PGR
432,PGRMC2
433,PELP1
434,PDPK1
435,PDGFRB
436,PDGFRA
437,PDGFB
438,PDGFA
439,PCBP2
440,PBX1
441,PAX5
442,PARN
443,P2RX7
444,P2RX4
445,NRIP1
446,NRF1
447,NRAS
448,NR5A2
449,NR3C1
450,NR2E1
451,NR1H3
452,NR1D1
453,NPM1
454,NPAS2
455,NOTCH4
456,NOTCH3
457,NOTCH2
458,NOTCH1
459,NOD2
460,NOD1
461,NLRX1
462,NLRP3
463,NLRC5
464,NKIRAS2
465,NKIRAS1
466,NGFR
467,NFYC
468,NFYB
469,NFYA
470,NFKBIB
471,NFKBIA
472,NFKB2
473,NFKB1
474,NFE2L2
475,NFATC3
476,NFATC2
477,NFATC1
478,NELFE
479,NCAM1
480,MBTPS2
481,MBD3
482,MAX
483,MAVS
484,MAPKAPK5
485,MAPKAPK3
486,MAPKAPK2
487,MAPKAP1
488,MAPK9
489,MAPK8
490,MAPK7
491,MAPK3
492,MAPK1
493,MAPK14
494,MAPK11
495,MAPK10
496,MAP4K4
497,MAP3K7
498,MAP3K5
499,MAP3K1
500,MAP2K7
501,MAP2K6
502,MAP2K4
503,MAP2K3
504,MAMLD1
505,MAML3
506,MAML2
507,MAML1
508,MALT1
509,MAFK
510,MAFG
511,LYN
512,LYL1
513,LY96
514,LRRFIP1
515,HGF
516,HEY2
517,HEY1
518,HES1
519,HERC5
520,HELZ2
521,HDAC9
522,HDAC8
523,HDAC7
524,HDAC6
525,HDAC5
526,HDAC4
527,HDAC3
528,HDAC2
529,HDAC1
530,HDAC11
531,HDAC10
532,HCK
533,HBEGF
534,HBB
535,HBA2
536,HBA1
537,H4C9
538,H4C8
539,H4C6
540,H4C5
541,H4C4
542,H4C3
543,H4C2
544,H4C1
545,H4C15
546,H4C14
547,H4C13
548,H4C12
549,H4C11
550,H3C8
551,H3C7
552,H3C6
553,H3C4
554,H3C3
555,H3C2
556,H3C1
557,H3C15
558,H3C14
559,H3C13
560,H3C12
561,H3C11
562,H3C10
563,H3-3B
564,H3-3A
565,H2BC9
566,H2BC8
567,H2BC7
568,H2BC6
569,H2BC4
570,H2BC3
571,H2BC21
572,H2BC1
573,H2BC17
574,H2BC15
575,H2BC14
576,H2BC13
577,H2BC12L
578,H2BC12
579,H2BC11
580,H2BC10
581,H2AZ2
582,H2AX
583,H2AJ
584,H2AC8
585,H2AC7
586,H2AC6
587,H2AC4
588,H2AC20
589,H2AC19
590,H2AC18
591,H2AB1
592,GZMB
593,GTF2F2
594,GTF2F1
595,GTF2A2
596,GTF2A1
597,GSK3B
598,GSDMD
599,GATAD2B
600,GATAD2A
601,GATA3
602,GATA2
603,GATA1
604,FOXO4
605,FOXO3
606,FOXO1
607,EIF2S3
608,EIF2S2
609,EIF2S1
610,EIF2AK2
611,EGR3
612,EGR2
613,EGR1
614,EGF
615,EED
616,E2F5
617,E2F4
618,E2F3
619,E2F2
620,E2F1
621,DUS2
622,DRAP1
623,DPP4
624,DNAJC3
625,DMD
626,DMAP1
627,DLG3
628,DIS3
629,DHX9
630,DHX36
631,DHH
632,DFFB
633,CSNK2A1
634,CSH1
635,CSF3R
