SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9	SW10	SW11	SW12	SW13
FOXH1	1.31909442590149	1.06573787750356	1.39504947263273	1.21419478806454	1.08869976923453	1	1.35894779684025	1	1.00693386638915	1	1.05737987114215	1.4486303561312
LAMA5	1	1	1.14975356630342	1.28322636834107	1	1	1	1.00007618766393	1	1	1	1
PRKRA	1	1	1	1	1	1	1	1	1	1	1	1
PTCH2	1	1	1.42425319242018	1	1.05019408783026	1	1	1	1.00024318092469	1	2.905588097953	1.31263023540717
HHIP	1	1	1	1	1	1	1	1	1	1	1	1
SOCS1	1	1	1	1	1	1	1	1	1	1	1	1
ATF4	2.50898943817212	1.02214055616657	1	1.00178368640081	1.06020386034084	1.1000246589762	1.07421057445756	1.15449682368784	1	1	1.07750549314299	1
IL10	1	1	1	1	1	1	1	1	1	1	1	1
ID3	1.05912940449216	1	1.06949019544545	1.0042624947787	1.08869976923453	1	1.0352712682442	1.3739486357551	1.00693386638915	1	1.00535303187657	1
ID1	1.22773064972411	1	1.12730980448316	1.06890513430428	1	1.09287044012615	1.78594686479465	1	1	1	1.04737054880541	1.03654122997214
RCOR1	1	1	1	1	1	1	1	1	1	1	1	1
CASP1	1.14722112771512	1.31807281519456	1.20075839234419	1	1	1.08915209952051	1.85579761211708	1.00008191597178	1	1	1.1246375365883	3.02591215788412
MYC	3.15592795132297	1.16354155178796	1	1.26085295400504	1.31287966047373	4.84398253047072	1	1.01198561148762	1.16497790619199	1	10	1.31467696943497
CTSD	1.2499863010434	1.01835106232679	1.03139177143832	1.00131941856791	1	1.39066350998672	1	1.00008794171122	1	1	1.20596156614677	1
IL10RA	2.40825623504369	1.0128929174012	1	1.15759828079252	1	1	4.60489356487001	1	1.00023353904832	1	1.01000902549124	1.96770485628208
STING1	1.5266751329035	1.14073544785274	1	1.02195134622888	1.62692131267621	1	1.68007387621381	1	1	1	1	2.95680200758435
TSC2	1	1	1	1	1	1	1.08682945532891	1.00008506662467	1	1	1	1
PPP1CA	1.17470230234431	1.1348169890091	1	1	1	1.8157340054836	1	1	1.10181437695736	1	1.02813631720633	1.06055794780412
NR1I2	1	1	1.44219116242529	1	1	1.38219956551137	1.05500924096763	1	1.00693386638915	1	1.04886091824131	1
IFIH1	1.03868040893907	1.51248189909209	1	1	1	1.65575180613101	1	1.000085977113	1.00022985899657	1	1.02513530051755	1.05557525929017
VDR	3.0542144637789	1.01014319153789	1.18304417978828	1.06021561852699	1	1	1.30766724423064	1	1.03990796964221	1	1.06454598027692	2.57576298848445
IRS1	1	1.00208802670545	1	1.04771255453649	1	1	1	1.00008177099483	1.00020437584007	1	1.01016783718993	1
IL1B	1.33624793851568	1	1	1.00645860038848	1	1.5349172303332	1	1	1.08246671438989	1	1.39281734154775	1
IL1A	1	1	1	1	1	1	1	1	1	1	1	1
IL18	1.11494614636679	1.0474641678588	1.44110008751018	1.03699701065743	1.1135127199344	1	1.124117770457	1	1.07244537310798	1	1.17634379132586	1.68231518640775
POMC	1	1	1	1	1	1	1	1	1	1	1	1
JAK3	1.13113504390458	1.04949957163978	1.66266743845862	1	1	1.01408164658048	3.52798189335657	1.00008018640665	1	1	1.2905877380084	2.04834768992484
IL2RG	1.17104093635722	1	1.25827563541189	1.02506429343606	1	1.0166071688484	2.75200258183504	1	1	1	1.24218053226899	1.44041487147125
IFNGR2	1.67822858477953	1.0053680329853	1.12242643074805	1.01417660816344	1	1	1.09647803825124	1.00008124241648	1.00022461478	1	1.61921420826339	1.68429411905697
IFNGR1	1.47749354251294	1	1	1.02125185518168	1	2.08552010555428	1	1	1.33020179005963	1	1.41152312260216	2.11621208133118
IFNB1	1	1	1	1	1	1	1	1	1	1	1	1
IFNAR2	1	1	1	1	1	1	1	1	1	1	1	1
IFNAR1	1	1	1	1	1	1	1	1	1	1	1	1
IFNA8	1	1	1	1	1	1	1	1	1	1	1	1
IFNA7	1	1	1	1	1	1	1	1	1	1	1	1
IFNA6	1	1	1	1	1	1	1	1	1	1	1	1
