SW2	SW3	SW4	SW5	SW6	SW7	SW8	SW9	SW10	SW11	SW12	SW13
ATF4	1	1	1.44088209562675	1	1	1	1	1	1.00693386638915	1	1	1.08828430303775
IL10	1	1	1	1	1	1	1	1	1	1	1	1
ID3	1	1.00594839163105	1	1	1	1.08294115261552	1	1	1	1	1	1.10775953008665
ID1	1	1.06573787750356	1	1	1.10589599432307	1	1	1.05084013428079	1.00693386638915	1	1	1
RCOR1	1	1	1	1	1	1	1	1	1	1	1	1
CASP1	1	1	1	1.00027196017839	1.160280262141	1	1	1	1.0002135493246	1	1	1
MYC	1	1	2.48292259440798	1	1	1	4.14566495488115	1	1	1.4069832749697	1	1
CTSD	1	1	1	1	1.10278833760726	1	1.09746658283498	1	1.00022218037224	1.00058416866716	1	1.21239110834542
IL10RA	1	1	1.04394728151096	1	1.05807199452746	1.0499892675538	1	1.00008522849736	1	1	1	1
STING1	1	1	1.00876582452143	1	1	1.79126854570836	1	1.00008057329966	1.00021367354903	1	1.005129944682	1
TSC2	1.20310330446615	1.06194363275419	1.01616908695118	1.05156523882038	1.08342611372511	1.356866730671	1	1	1.00022881791174	1	1.12565353507138	1.35852606254822
PPP1CA	1	1	1.30554419988857	1.00328253849883	1.01589775404549	1	1.12363245475752	1.03634353041232	1	1	1	1
NR1I2	1.48961549622636	1.06573787750356	1	1.42686062623707	1.70433680770014	1	1	1.15449682368784	1	1	1	2.00445575635087
IFIH1	1	1	1.31008931407062	1.00292078083307	1.12304754252282	1	1.37095471886266	1	1	1	1	1
VDR	1	1	1	1	1.08869976923453	1.00487028835405	1	1.16690092894249	1	1	1	1
IRS1	1.77214253383135	1	1.58677092667642	1	1.05567311749436	1.19801310763181	1.10141795702019	1	1	1	1	1.58796519718081
IL1B	1	1	1	1	1.52268579412356	1	1.04583623806161	1.000082914123	1	1	1	1.00374854170437
IL1A	1	1	1	1	1	1	1	1	1	1	1	1
IL18	1	1	1	1	1	1.1930874916005	1	1.00009098259835	1	1	1	1
POMC	1	1	1	1	1	1	1	1	1	1	1	1
JAK3	1	1	1	1.00833121084683	1.10762893887437	1	1	1	1.08191828143056	1	1	1
IL2RG	1	1.01495634073942	1	1	1.05309627393628	1	1	1.11666252818697	1.00022982977892	1	1	1
IFNGR2	1	1	1	1	1.00517583133046	1.090375227811	1	1	1	1	1	1
IFNGR1	1	1.04953502919011	1.00719200845009	1	1.00260326165926	1	1.1740831586995	1.03740787920842	1	1	1	1
IFNB1	1	1	1	1	1	1	1	1	1	1	1	1
IFNAR2	1	1	1	1	1	1	1	1	1	1	1	1
IFNAR1	1	1	1	1	1	1	1	1	1	1	1	1
IFNA8	1	1	1	1	1	1	1	1	1	1	1	1
IFNA7	1	1	1	1	1	1	1	1	1	1	1	1
IFNA6	1	1	1	1	1	1	1	1	1	1	1	1
IFNA5	1	1	1	1	1	1	1	1	1	1	1	1
IFNA4	1	1	1	1	1	1	1	1	1	1	1	1
IFNA2	1	1	1	1	1	1	1	1	1	1	1	1
IFNA21	1	1	1	1	1	1	1	1	1	1	1	1
IFNA1	1	1	1	1	1	1	1	1	1	1	1	1
IFNA17	1	1	1	1	1	1	1	1	1	1	1	1
IFNA16	1	1	1	1	1	1	1	1	1	1	1	1
IFNA14	1	1	1	1	1	1	1	1	1	1	1	1
IFNA10	1	1	1	1	1	1	1	1	1	1	1	1
CDKN2D	1	1	1	1	1	1	1	1	1	1	1	1
CDKN2C	1	1	1	1	1	1	1	1	1	1	1	1
CDKN2B	1	1	1	1	1	1	1	1	1	1	1	1
ZAP70	1	1	1	1	1	1	1	1	1	1	1	1
ICAM2	1	1	1.01259827572748	1	1	1.31052606614712	1	1	1.00020861301846	1	1	1
ITGB2	1	1	1	1	1.15148207359174	1	1	1.00008592210526	1	1	1	1
ITGAM	1	1	1.14710478389116	1	1.02309352643769	1.03424381110307	1.06049235715879	1	1	1	1	1
CASP8	1	1	1	1	1	1	1	1	1	1	1	1
SP1	1	1	1	1	1	1	1	1.29557194951863	1	1	1	1
RBPJ	1	1	1	1.00857062438363	1	1.12167502929585	1	1.02669398880334	1	1	1	1
PPARGC1A	1.07978776102167	1	1.48481051262249	1	1	1.0367808073732	1.17133769412269	1	1.18652909087464	1	1	1.04874737293906
CDK8	1	1	1	1	1	1	1	1	1	1	1	1
RBL1	1	1	1	1	1	1	1	1	1	1	1	1
FOXM1	1	1.00594839163105	1	1.03614505354953	1.10589599432307	1	1	1	1.00693386638915	1	1	1.11139316648819
SOCS2	1	1	1	1	1	1	1	1	1	1	1	1
FBXW7	1	1	1	1	1	1	1	1	1	1	1	1
CISH	1	1	1	1	1	1	1	1	1	1	1	1
YES1	1	1	1	1	1	1	1	1	1	1	1	1
KIT	1	1	1	1	1	1	1	1	1	1	1	1
JAK1	1	1	1	1	1	1	1	1	1	1	1	1
IL6R	1.29924689638269	1.42702323580881	1.60114317584636	1.00031089611875	1	1	1	1.12229170931819	1	1.0226695367985	1.40413187821086	1.23057900484864
SOCS3	1	1	1	1	1	1	1	1	1	1	1	1
RORC	1.00682431870422	1	1.03318506805425	1.01601153644702	1.24367096760011	1	1.03951660638495	2.25681385997293	1	1	1	1
LIFR	1	1	1	1	1	1	1	1	1	1	1	1
ITCH	1.55508742805321	1.14033916239549	1.00560415212944	1.05903248998337	1	1	1.00080575675461	1	1.01512017303437	1.04929715258004	1	1.44127478548755
IFNG	1	1	1	1	1	1	1	1	1	1	1	1
CDKN2A	1	1	1	1	1	1	1	1	1	1	1	1
PRL	1	1	1	1	1	1	1	1	1	1	1	1
PRLR	1	1	1	1	1	1	1	1	1	1	1	1
JAK2	1	1	1	1	1	1	1	1	1	1	1	1
GLI3	1	1.00594839163105	1	1	1.00435204584658	1	1	1	1.03257539255278	1	1	1.00672483537357
GLI1	1	1.08567132806033	1	1	1	1.14580659413928	1	1	1	1	1.05737987114215	1
GH2	1	1	1	1	1	1	1	1	1	1	1	1
GH1	1	1	1	1	1	1	1	1	1	1	1	1
PTPN6	1	1	1	1.01278037836775	1.1847079189916	1	1	1.00008842623764	1	1	1	1
MYD88	1	1	1	1	1	1	1	1	1	1	1	1
IRAK2	1	1	1	1	1	1	1	1	1	1	1	1
IRAK1	1	1	1	1	1	1	1	1	1	1	1	1
HMGB1	1	1	1	1	1	1	1	1	1	1	1	1
ITGB1	1	1	1.01898174306263	1.0060355344445	1	1	1.33919272868295	1	1	1	1.00887984770979	1
PTCH1	1	1	1	1	1	1	1	1	1	1	1	1
RHEB	1.16332897956611	1	1.07432986225409	1.0211185713407	1	1	1.11254937943936	1.00008200195558	1.00019690553794	1	1	1.08165003466064
MTOR	1	1	1	1	1	1	1	1	1	1	1	1
MLST8	1	1	1	1	1	1	1	1	1	1	1	1
PPARA	1.37244706827863	1.00594839163105	1.12730980448316	1.54245920156556	1.6400687953337	1	1.090335604504	1	1	1	1	3.47284197394212
CLOCK	1	1.38864825532271	1	1.31366140751302	1	1.08707323147199	1	1.09247603347325	1.00693386638915	1	1.06454598027692	1.34600981557806
TRAF3	1	1	1	1	1	1	1	1	1	1	1	1
TRAF2	1	1	1	1	1	1	1	1	1	1	1	1
TNFRSF1B	1	1	1.00052248492929	1	1.07937619863673	1	1	1.00007626692594	1	1	1	1.04212805658101
TLR3	1	1	1.01394394017724	1	1.17730664275784	1	1	1.69600679352673	1	1	1	1
TICAM1	1	1	1	1	1	1	1	1	1	1	1	1
RIPK3	1	1	1	1	1	1	1	1.00007825798075	1	1	1	1
RIPK2	1	1	1	1	1	1	1	1	1	1	1	1
RIPK1	1	1	1	1	1	1	1	1	1	1	1	1
IKBKE	1	1	1	1	1	1	1	1	1	1	1	1
PMAIP1	1	1	1	1	1	1	1	1	1	1	1	1
IKBKG	1	1	1	1	1	1	1	1	1	1	1	1
IKBKB	1.09456580413953	1	1	1.00122572297133	1	1.76104820269612	1.00200321287888	1	1	1	1.67090453428906	1
CHUK	1	1	1	1	1	1	1	1	1	1	1	1
RAPGEF1	1	1	1	1	1	1	1	1	1	1	1	1
FANCL	1	1	1	1	1	1	1	1	1	1	1	1
FANCG	1	1	1	1	1	1	1	1	1	1	1	1
FANCC	1	1	1	1	1	1	1	1	1	1	1	1
