nes_SW2	fdr_SW2	nes_SW3	fdr_SW3	nes_SW4	fdr_SW4	nes_SW5	fdr_SW5	nes_SW6	fdr_SW6	nes_SW7	fdr_SW7	nes_SW8	fdr_SW8	nes_SW9	fdr_SW9	nes_SW10	fdr_SW10	nes_SW11	fdr_SW11	nes_SW12	fdr_SW12	nes_SW13	fdr_SW13
ASXL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATF1	1.51000246154283	0.236491296045581	0.622683748905657	0.814614246381616	1.25334360468669	0.522631393039703	0.0426741226655016	0.984043907700491	-0.0644341465181097	0.978269058440065	0.113097688849919	0.958589633909085	1.29691771445124	0.445211333290463	1.8258758841128	0.505733214533829	-1.2674635600478	0.690439805816526	0.608089616032589	0.992648160101677	2.02557389155362	0.134034270761825	-0.759488137847517	0.59078000167237
ATF2	2.79758015731774	0.0172369487997509	-0.277123895373184	0.944646291754153	1.03759348170731	0.604486230787447	0.939516347358457	0.679494048011377	-0.66355266306231	0.778954810152655	2.18682511595767	0.184513131546303	1.88114163151642	0.251627026353167	1.00193362827673	0.716497794911049	0.250651576105385	0.959296222274339	-0.693571725246777	0.992648160101677	4.17567605312965	0.000762758176144413	1.18276071518402	0.390891590027003
ATF3	0.434689871281294	0.747975240801578	1.35782302218719	0.571699907186552	-0.762114484860166	0.727077392304958	-0.197238597146316	0.922103641854861	1.54042229084861	0.399287495768113	-0.0756838475264395	0.967203819291187	0.697605975877128	0.70970165579864	1.6022875932445	0.534461095337403	-0.589404699038486	0.916345835692911	-0.178572774764414	0.992648160101677	1.62319210455712	0.246435384947297	1.07791698518191	0.438698350629049
ATF4	4.07581183556917	0.000320978611665413	0.676777059129269	0.808984851796371	-2.03252253792427	0.21503260654804	-0.265961053170554	0.903723693794605	0.36399888655976	0.885307960536269	2.29229899234381	0.144936127831381	-0.351826541702754	0.87222754873692	1.39427185280981	0.552780619178625	0.0181461422922932	0.997263408608624	-0.935378706842492	0.992648160101677	0.828496280852928	0.606171154178054	-0.674182118228578	0.624568481019461
ATF5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATF6	0.977700697264621	0.468020796579917	4.75456720110066	0.000459394284950878	-2.04672126155888	0.213598667357116	-3.5881002389338	0.00961815375602617	-0.841376809791135	0.760201125276806	2.63716417252487	0.0864596996978921	-0.121344012127207	0.947030745155428	5.84136844555499	5.97986869963704e-07	-1.94477868378531	0.311142669177635	-0.243057781091272	0.992648160101677	2.56485375958238	0.0529859067783331	-1.45807194822987	0.290335294693388
ATF6B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATF7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATOH1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATOH7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATOH8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATRX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BACH1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BACH2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BARHL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BARX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BARX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BATF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BATF2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BATF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BBX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL11A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL11B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCL6	0.341319663229326	0.813900676318647	0.594958762046398	0.814614246381616	0.982786776186349	0.616717724925519	0.441030875155422	0.835001854971834	1.69393003333018	0.365865820646426	-0.161214945649337	0.957444157150938	1.23414963527014	0.46019258564584	-0.490259203364791	0.90337590385945	1.18113739582879	0.700175441426116	-0.526739790702221	0.992648160101677	0.134337772368123	0.939807323836054	2.55289892427121	0.0460123234571045
BCL6B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCLAF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BCOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHA15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHE22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHE23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHE40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BHLHE41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BMAL1	0.936321566729344	0.488750706251103	-1.62111713081722	0.466409082342741	0.404172240781101	0.872390330550416	-1.58407787355749	0.348582076593749	-1.72158850246608	0.351219360635941	2.29105869148161	0.144936127831381	1.16257925289242	0.492002393168339	-2.1878211823289	0.361625972409588	0.111889412321549	0.997263408608624	0.0651102881624404	0.99530981670994	-0.449272435155241	0.798693144386498	-1.80378712941968	0.180902660109301
BMAL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BPTF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BRCA1	1.75246125857625	0.161486276164459	0.218327911443754	0.944646291754153	1.40338209827503	0.481069153621051	-1.15374537238276	0.557550069040457	-1.26379292557386	0.54277548488792	1.94072422857305	0.262595456606668	-0.279083697407954	0.883049277029669	1.83705091675938	0.505733214533829	-0.0799919813116205	0.997263408608624	-1.52074564526933	0.992648160101677	2.45047574958327	0.0633773254367168	0.233886893259262	0.872818325324046
BRD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BRD7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BSX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BTAF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BTG2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CAMTA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CARF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
