gene_symbol	entrez_id
227	RNA5-8SN5	124907598
228	RNA5-8SN5	124907600
229	RNA5-8SN5	124907611
230	RNA5-8SN5	124907622
231	RNA5-8SN5	124907633
232	RNA5-8SN5	124907644
233	RNA5-8SN5	124907655
234	RNA5-8SN5	124907662
235	RNA5-8SN5	124907673
236	RNA5-8SN5	124907684
237	RNA5-8SN5	124907694
238	RNA5-8SN5	124907705
239	RNA5-8SN5	124907709
240	RNA5-8SN5	124907710
241	RNA5-8SN5	124907711
242	RNA5-8SN5	124907712
243	RNA5-8SN5	124907713
244	RNA5-8SN5	124907714
245	RNA5-8SN5	124907715
246	RNA5-8SN5	124907716
247	RNA5-8SN5	124907717
248	RNA5-8SN5	124907718
249	RNA5-8SN5	124907719
250	RNA5-8SN5	124907720
251	RNA5-8SN5	124907721
252	RNA5-8SN5	124908237
253	RNA5-8SN5	124908238
254	RNA5-8SN5	124908239
255	RNA5-8SN5	124908240
256	RNA5-8SN5	124908241
257	RNA5-8SN5	124908242
258	RNA5-8SN5	124908243
259	RNA5-8SN5	124908244
260	RNA5-8SN5	124908245
261	RNA5-8SN5	124908246
262	RNA5-8SN5	124908247
263	RNA5-8SN5	124908248
264	RNA5-8SN5	124908249
265	RNA5-8SN5	124908254
266	RNA5-8SN5	124908257
267	RNA5-8SN5	124908268
268	RNA5-8SN5	124908278
269	RNA5-8SN5	124908289
270	RNA5-8SN5	124908300
271	RNA5-8SN5	124908310
272	RNA5-8SN5	124908316
273	RNA5-8SN5	124908327
274	RNA5-8SN5	124908336
275	RNA5-8SN5	124908347
276	RNA5-8SN5	124908358
277	RNA5-8SN5	124908368
278	RNA5-8SN5	124908369
279	RNA5-8SN5	124908370
280	RNA5-8SN5	124908371
281	RNA5-8SN5	124908372
282	RNA5-8SN5	124908373
283	RNA5-8SN5	124908374
284	RNA5-8SN5	124908375
285	RNA5-8SN5	124908376
286	RNA5-8SN5	124908377
287	RNA5-8SN5	124908378
288	RNA5-8SN5	124908379
289	RNA5-8SN5	124908380
290	RNA5-8SN5	124908381
291	RNA5-8SN5	124908382
292	RNA5-8SN5	124908383
293	RNA5-8SN5	124908384
294	RNA5-8SN5	124908385
295	RNA5-8SN5	124908386
296	RNA5-8SN5	124908387
297	RNA5-8SN5	124908388
298	RNA5-8SN5	124908389
299	RNA5-8SN5	124908390
300	RNA5-8SN5	124908391
301	RNA5-8SN5	124908392
302	RNA5-8SN5	124908393
303	RNA5-8SN5	124908474
304	RNA5-8SN5	124908494
305	RNA5-8SN5	124908504
306	RNA5-8SN5	124908512
307	RNA5-8SN5	124908513
308	RNA5-8SN5	124908514
309	RNA5-8SN5	124908515
310	RNA5-8SN5	124908516
311	RNA5-8SN5	124908517
312	RNA5-8SN5	124908518
313	RNA5-8SN5	124908519
314	RNA5-8SN5	124908520
315	RNA5-8SN5	124908521
316	RNA5-8SN5	124908522
317	RNA5-8SN5	124908523
318	RNA5-8SN5	124908524
319	RNA5-8SN5	124908525
320	RNA5-8SN5	124908526
321	RNA5-8SN5	124908527
322	5_8S_rRNA	124900510
323	5_8S_rRNA	124907114
324	5_8S_rRNA	124907115
325	5_8S_rRNA	124907116
326	5_8S_rRNA	124907117
327	5_8S_rRNA	124907118
328	5_8S_rRNA	124907119
329	5_8S_rRNA	124907120
330	5_8S_rRNA	124907121
331	5_8S_rRNA	124907122
332	5_8S_rRNA	124907123
333	5_8S_rRNA	124907124
334	5_8S_rRNA	124907125
335	5_8S_rRNA	124907126
336	5_8S_rRNA	124907127
337	5_8S_rRNA	124907128
338	5_8S_rRNA	124907129
339	5_8S_rRNA	124907130
340	5_8S_rRNA	124907131
341	5_8S_rRNA	124907132
342	5_8S_rRNA	124907133
343	5_8S_rRNA	124907134
344	5_8S_rRNA	124907135
345	5_8S_rRNA	124907136
346	5_8S_rRNA	124907137
347	5_8S_rRNA	124907138
348	5_8S_rRNA	124907139
349	5_8S_rRNA	124907140
350	5_8S_rRNA	124907141
351	5_8S_rRNA	124907142
352	5_8S_rRNA	124907143
353	5_8S_rRNA	124907144
354	5_8S_rRNA	124907145
355	5_8S_rRNA	124907146
356	5_8S_rRNA	124907147
357	5_8S_rRNA	124907148
358	5_8S_rRNA	124907149
359	5_8S_rRNA	124907150
360	5_8S_rRNA	124907151
361	5_8S_rRNA	124907152
362	5_8S_rRNA	124907153
363	5_8S_rRNA	124907154
364	5_8S_rRNA	124907155
365	5_8S_rRNA	124907160
366	5_8S_rRNA	124907172
367	5_8S_rRNA	124907183
368	5_8S_rRNA	124907194
369	5_8S_rRNA	124907205
370	5_8S_rRNA	124907216
371	5_8S_rRNA	124907227
372	5_8S_rRNA	124907238
373	5_8S_rRNA	124907248
374	5_8S_rRNA	124907258
375	5_8S_rRNA	124907269
376	5_8S_rRNA	124907280
377	5_8S_rRNA	124907291
378	5_8S_rRNA	124907302
379	5_8S_rRNA	124907313
380	5_8S_rRNA	124907324
381	5_8S_rRNA	124907327
382	5_8S_rRNA	124907328
383	5_8S_rRNA	124907329
384	5_8S_rRNA	124907330
385	5_8S_rRNA	124907331
386	5_8S_rRNA	124907332
387	5_8S_rRNA	124907333
388	5_8S_rRNA	124907334
389	5_8S_rRNA	124907335
