	Steatosis	Ballooning	Fibrosis	NAS	Inflammation	average_cor	median_cor
sw_graphs_8_24_03_68	0.8280613060604979	0.8995881962849928	0.9120879120879121	0.9065934065934066	0.8170571691028833	0.8726775980259385	0.8995881962849928
sw_graphs_8_24_03_65	0.8280613060604979	0.8995881962849928	0.9120879120879121	0.9120879120879121	0.8170571691028833	0.8737764991248396	0.8995881962849928
sw_graphs_8_24_03_62	0.8280613060604979	0.8995881962849928	0.9120879120879121	0.9065934065934066	0.8170571691028833	0.8726775980259385	0.8995881962849928
sw_graphs_8_24_03_63	0.8280613060604979	0.8995881962849928	0.9120879120879121	0.9120879120879121	0.8170571691028833	0.8737764991248396	0.8995881962849928
sw_graphs_8_24_03_69	0.8011171991592534	0.8995881962849928	0.9120879120879121	0.9065934065934066	0.8170571691028833	0.8672887766456896	0.8995881962849928
sw_graphs_8_24_03_64	0.8280613060604979	0.8995881962849928	0.9120879120879121	0.9065934065934066	0.8170571691028833	0.8726775980259385	0.8995881962849928
sw_graphs_8_24_03_67	0.8011171991592534	0.8995881962849928	0.9120879120879121	0.9065934065934066	0.8170571691028833	0.8672887766456896	0.8995881962849928
sw_graphs_8_24_03_66	0.8011171991592534	0.8995881962849928	0.9120879120879121	0.9065934065934066	0.8170571691028833	0.8672887766456896	0.8995881962849928
sw_graphs_8_24_03_93	0.7785426897512322	0.8956043956043956	0.9340659340659341	0.8956043956043956	0.8225592375816906	0.8652753305215297	0.8956043956043956
sw_graphs_8_24_03_95	0.7785426897512322	0.8956043956043956	0.9340659340659341	0.8956043956043956	0.8225592375816906	0.8652753305215297	0.8956043956043956
sw_graphs_8_24_03_61	0.8280613060604979	0.8995881962849928	0.8956043956043956	0.9065934065934066	0.8170571691028833	0.8693808947292352	0.8956043956043956
sw_graphs_8_24_03_36	0.8066421453603517	0.8901098901098901	0.9120879120879121	0.8901098901098901	0.8351648351648352	0.8668229345665758	0.8901098901098901
sw_graphs_8_24_03_37	0.8066421453603517	0.8901098901098901	0.9120879120879121	0.8901098901098901	0.8351648351648352	0.8668229345665758	0.8901098901098901
sw_graphs_8_24_03_39	0.8066421453603517	0.8901098901098901	0.9120879120879121	0.8901098901098901	0.8351648351648352	0.8668229345665758	0.8901098901098901
sw_graphs_8_24_03_38	0.8335633745393052	0.8901098901098901	0.9120879120879121	0.8901098901098901	0.8351648351648352	0.8722071804023666	0.8901098901098901
sw_graphs_8_24_03_34	0.8335633745393052	0.8901098901098901	0.9120879120879121	0.8901098901098901	0.8351648351648352	0.8722071804023666	0.8901098901098901
