logfc_SW2	fdr_SW2	logfc_SW3	fdr_SW3	logfc_SW4	fdr_SW4	logfc_SW5	fdr_SW5	logfc_SW6	fdr_SW6	logfc_SW7	fdr_SW7	logfc_SW8	fdr_SW8	logfc_SW9	fdr_SW9	logfc_SW10	fdr_SW10	logfc_SW11	fdr_SW11	logfc_SW12	fdr_SW12	logfc_SW13	fdr_SW13
ABCC9	-0.00408173926714634	0.988668310619556	0.00342102089258836	0.995547081406942	-0.195372481949806	0.671047357123593	-0.00173979334760617	0.999284806025574	0.00864221344955309	0.986176709814204	-0.0389869490867255	0.923919467493174	0.0432774606086613	0.959638096727105	-0.268025771972083	0.865620835169058	0.15909709008391	0.999550711701349	-0.160856074998312	0.90974036739101	-0.164544171546548	0.510297608929468	-0.106550517669707	0.72399080010786
ABCD2	0.51371104351086	0.273779430006459	0	1	0.527553096683164	0.673918515672121	0.250201691571263	0.982995898930407	-0.182812202355626	0.878988793535139	-0.352449780347365	0.641258161096844	0.705406371335438	0.390542542331301	0	1	-0.0555062495018576	0.999550711701349	0	1	0.0646060404048702	0.953330140538582	0.452409853974158	0.39740817992273
ABCD3	0.0125631286723904	0.969617848412244	0.111100677878223	0.626734048210369	0.0666755987300304	0.918333953071939	0.0422411415327589	0.993540231376518	-0.176051534334231	0.345324675888387	0.112412838266928	0.613391840212065	-0.0428521452962438	0.933645760849389	0.0916530651851021	0.999825254749618	0.085843775897971	0.999550711701349	0.101402024142735	0.959178322798184	-0.0467299997898751	0.925591955223575	-0.235821331170813	0.196137556487522
ABCD4	-0.163065481276088	0.246232098291569	-0.00152646200864021	0.999792868434369	0.00736399271927561	0.988674792025294	-0.0258906911391189	0.994292658688173	0.0331040255614215	0.90804983164701	-0.0660076990606707	0.788879056609916	0.0716145990196753	0.875764766101142	0.169791176584854	0.903999774473684	-0.0684762857416712	0.999550711701349	0	1	-0.0517212386150228	0.867025004732993	-0.0883646492142838	0.727224133225593
ABCE1	-0.0246132884774442	0.925200431115233	0.10958252111097	0.514606022640371	-0.245112172209633	0.27104775137819	-0.0214797757710151	0.994947548351416	-0.0344229376512607	0.904469821847405	0.232056298513597	0.0413617712424425	-0.10986758686709	0.609947508882078	0.0933804160338948	0.999825254749618	-0.0500828897086286	0.999550711701349	0	1	0.118366935961644	0.657496454919795	-0.109190791112872	0.499899767421051
ABCF3	-0.0890032361698146	0.542249497389287	0.0468538935746887	0.889814450046877	0.0628558319132014	0.877917060129016	-0.0280651574971119	0.994292658688173	-0.091303233519749	0.671395680448552	0.0699420932436741	0.766269304527921	-0.091161202866634	0.818005342451294	-0.227831402976279	0.815785335518236	0.11750100937721	0.999550711701349	0	1	0.0284245804977925	0.939859092770644	-0.0560832517319042	0.858711961305694
ABCG2	0.0199893147717139	0.980426974501976	-0.0773585055330632	0.939191371727555	-0.495397420235929	0.415612499034795	0.0557146584993143	0.995630381351448	0.173955683981018	0.814014730174762	-0.163110566741209	0.826774892073472	-0.475341342107908	0.365696011246528	-0.0625748258755068	0.999825254749618	0.262517486774147	0.999550711701349	0	1	-0.0706187678459947	0.924789822984509	-0.338187610381756	0.385407346203061
ABHD10	-0.0191281349681215	0.950860225839501	-0.0278818980502426	0.958502656101841	-0.189552301219621	0.434100752325143	0.0238591957156843	0.995630381351448	0.0487431218084294	0.874230626183428	0.0588153947482457	0.787754145882546	-0.148294154232963	0.480772749552932	0.0644487958266331	0.999825254749618	-0.0459250777155299	0.999550711701349	0	1	-0.0327376609463739	0.921224250196976	-0.0468834681101944	0.89986977283249
ABHD12B	-0.148302589286594	0.334649462384911	-0.0122183560715556	0.985779604431215	0.0962977053332482	0.84914672227065	-0.00237849460557605	0.999284806025574	-0.120626242674179	0.653334049548925	-0.0688170063528525	0.82045662573941	-0.0040305422390818	0.997158549642129	0.264333916088521	0.999825254749618	0.032194730926811	0.999550711701349	0	1	-0.167904652502575	0.632916579422986	-0.043815247748677	0.95481893239797
ABHD14A	0.060655645708126	0.848603553980971	-0.0998486312683158	0.810857530272724	-0.176186106018669	0.738564591446755	-0.132368725271181	0.941522452947335	0.0412881309831489	0.928854964289151	0.0373249567434358	0.915892494167885	-0.056985748925533	0.943137143574215	0.211900045869569	0.999825254749618	-0.0122888572525645	0.999550711701349	0	1	0.0438400727324679	0.93964640382324	0.137303604515384	0.812575904755897
ABHD14B	0.0538000502104	0.816961575828911	0.0703640227643433	0.802427389601134	-0.15213283586885	0.71481766057405	-0.0358237421104692	0.994292658688173	-0.108650856119426	0.667273177249288	0.0837501579517334	0.733281206530393	0.00994944362496619	0.987566884528296	0.00388426953655551	0.999825254749618	-0.0298679995109143	0.999550711701349	0	1	-0.0473776006407032	0.914369070760196	-0.126758485216433	0.773128969307982
ABHD15	-0.140248217238796	0.273480087974204	-0.0907858465692965	0.769048824293911	0.00782403785512894	0.990269754056175	-0.0615190737800395	0.981790961329406	0.0804011604099938	0.736122152523606	-0.0637349122638944	0.755188520258991	-0.0187467503825121	0.975375785164411	-0.113023335433366	0.999825254749618	-0.0981777257266767	0.999550711701349	0	1	0.110561842169528	0.771875417727806	-0.348386850535072	0.135865963647925
ABHD17A	-0.0732696069096754	0.849976414008998	-0.122369220106579	0.814089268869685	0.211731399135018	0.545160838580201	0.0529642248947071	0.993540231376518	-0.103908125379437	0.779471957658824	0.152103999904259	0.553286075603608	-0.0506030199813091	0.939504997560976	-0.140295545318858	0.999825254749618	0.338906590427139	0.804321358296742	0	1	0.0648305015074357	0.905066464863524	0.335968260298542	0.52253282500193
ABHD18	-0.101469324375855	0.406775255837551	-0.0695286486414621	0.753314174991502	-0.118741293560995	0.71289200099773	-0.0891487134933484	0.949994524334198	0.00883641778649655	0.978613895947567	-0.00718921568033426	0.979773653512631	-0.136651487119037	0.633540102712812	0.0649738585086857	0.999825254749618	-0.176613110425448	0.952157686621723	0	1	-0.111980404905712	0.657496454919795	0.00746770150043665	0.988485791917548
ABHD8	0.00571237290572278	0.990189420794328	0.0961401175704967	0.820580608176775	-0.0405838485676036	0.958283428646719	0.0943786838727462	0.982995898930407	-0.158256551046375	0.672260486454336	0.129885573345664	0.742221231979695	-0.0177245724717346	0.987057940068829	-0.0280271646126558	0.999825254749618	0.0164967364577211	0.999550711701349	0	1	0.121128062282299	0.853728829111165	-0.274053660797522	0.639300693328493
ABI1	0.0828450038525797	0.488609906493512	0.0793997548095979	0.713032409462879	-0.0617818967593861	0.827861361300308	-0.052210807027783	0.979573020202667	-0.0410911086413057	0.882884431044545	0.0664902822857177	0.731804293746759	-0.0362531533167315	0.931976914047652	-0.040434189170099	0.999825254749618	0.186250753023525	0.897428681981848	0	1	-0.0192611730008699	0.953996031076553	0.0086395153239546	0.983459457193235
ABI3	0.242467862852606	0.482807246534298	0.243023388213449	0.595334582582001	0.135007082000938	0.818919088961139	-0.196845938254986	0.918729397608139	-0.114689944896065	0.785289700216998	0.177824831338074	0.684673731234144	0.151058394495195	0.811931561331976	-0.034699097940615	0.999825254749618	0.567537900672257	0.163259969213863	0	1	-0.0418472185620108	0.950903477557315	0.0914914163556133	0.87643660032771
ABL2	-0.0478816601027176	0.862246803147105	0.0622502999358139	0.884970475024159	-0.108658112513913	0.818919088961139	0.170107337971925	0.883515920936916	-0.0106770213304105	0.977217938987172	-0.145746513110267	0.453018177070021	0.104288695073955	0.782936835342005	0.0680742455376612	0.999825254749618	-0.0810175578631343	0.999550711701349	0	1	0.0142439762090036	0.977244621478635	-0.0640919643448283	0.882183965847125
ABLIM2	0.0737651658562489	0.937208029875427	0	1	-0.146418169493884	0.921116182015482	0.658658893842952	0.916879001527975	1.19213409375584	0.0928990302084249	-1.68897828093878	0.035919939488977	0.605820050449511	0.402596917409247	0.37680305063293	0.999825254749618	-0.637141403745342	0.860957938414921	0	1	0.124538095329983	0.892577804805244	0.390339622114706	0.532982035571937
ABO	-0.150425585396202	0.575992072046325	-0.165307642903699	0.784757778568833	0.179461662701438	0.808847449681962	0.210890812202942	0.93205160091643	-0.138537355413087	0.785143509674104	-0.076670383868846	0.841532648398017	0.058275644520425	0.965899677703594	-0.928047200055479	0.842695739813559	0.0578234208785013	0.999550711701349	0	1	-0.101424796148171	0.9085535658266	-0.0994597807964777	0.907181749299701
ABR	0.0671537927294852	0.895057529302458	-0.0191473337097315	0.983903433219161	0.255722414577013	0.714211010424144	0.357532905721827	0.70802378573625	-0.170439406848921	0.703825287857469	-0.198382276157906	0.594911903929971	0.572157764796762	0.0450007002073179	-0.332344498669529	0.867900234843364	0.078078319713632	0.999550711701349	0	1	-0.106190121635063	0.825020530194095	0.344954358782773	0.227845663843549
ABRA	0.201445844653586	0.580508366578054	0	1	0	1	0.889540682679692	0.893958145010161	1.36745265680639	0.167417992867112	-2.19750584855143	0.0168551265523749	-0.0352517059302846	0.986618167021444	0	1	0.0893002116438102	0.999550711701349	0	1	-0.25065181769793	0.79458406671561	-0.187028836730287	0.870458664221918
ABRACL	-0.348769026635184	0.28761772292262	0.222545431158309	0.752370660757475	-0.00881866799419249	0.995227734718271	-0.0121305919170437	0.998960156665203	-0.117875892584032	0.908568002378172	0.160798601916046	0.783070035363063	-0.161855286569904	0.860921276235623	0.418176444547524	0.952305306886117	0.0929159113042944	0.999550711701349	0	1	0.313274155126629	0.55864931587639	0.353453657988917	0.440568614713582
ABT1	0.0661525657899651	0.808587916295839	0.0447492476457138	0.943298736940061	-0.218759562397837	0.554035195986695	-0.0113945545345698	0.997206629392131	-0.0611647423736658	0.823156241941296	0.0978617271756847	0.613711020652986	-0.019080704920387	0.979686154982124	0.0243566730382075	0.999825254749618	0.201218753031378	0.999550711701349	0	1	0.0720817228524071	0.872757800379608	-0.0656092392219517	0.919490364636972
ABTB2	-0.312291131993812	0.0252309663821208	0.106268298576875	0.784485057589637	-0.204081192536685	0.763387486082617	0.155029649179564	0.956794150372609	-0.04786489177368	0.944975176221926	0.0760153259494129	0.847138821798227	0.0200574213625623	0.983725835897499	-0.190703367242248	0.987046438481332	0.0644148187653503	0.999550711701349	0	1	-0.124639042875081	0.811359377722904	-0.345923544475133	0.236511970615735
ACACB	-0.13645025161192	0.377450787028526	-0.184880858985436	0.450122340736929	0.0520592923619664	0.923774054221576	0.0792743474440698	0.957451308196307	-0.091954041294519	0.668497289163782	-0.10953220155194	0.684673731234144	0.174751585146751	0.431997276084416	-0.08372309746358	0.999825254749618	-0.190736376466685	0.988629915253836	0.0450596892621654	0.9703345256284	-0.13306253946082	0.550319159440214	-0.328422818304133	0.0656978411427157
ACAD10	-0.0224777462680579	0.89534529948756	-0.0517572030973881	0.821911439609707	0.00983954327274546	0.980817291272898	-0.0172883732819769	0.995630381351448	-0.0585283327418201	0.714229706679284	0.004737938589894	0.988608983695933	-0.0185914843549861	0.978232952458934	0.0944229368367295	0.999825254749618	-0.227163893036973	0.920831398800152	0	1	-0.161397127174487	0.33625298388732	-0.15576977193182	0.251737756583231
ACAD11	-0.14074511829521	0.51554551540494	-0.106910615096312	0.784757778568833	0.0405770585667276	0.952030699542778	-0.0951119232945764	0.975213427203528	0.0427190410766538	0.931603169379033	-0.0206471089450316	0.959072515469819	0.140552721691231	0.793838115326749	0.15067705801034	0.999825254749618	-0.316389666862326	0.643015407969532	0	1	0.170704752669884	0.427454333209617	-0.259709636382012	0.408090692896856
ACAD9	0.00652976080094338	0.980426974501976	-0.0393162395913413	0.912838403800113	0.0146888801565649	0.979258817372218	-0.0648998416683662	0.975213427203528	0.0153887069544318	0.966943880095631	0.051733904678854	0.81462375720785	-0.136234409711439	0.594625146487835	-0.0639807802001193	0.999825254749618	0.0163457686721775	0.999550711701349	0	1	0.0172174426833737	0.953996031076553	-0.129930393466746	0.553850278684458
ACADL	-0.141016753078599	0.307655441693743	-0.0130175324793693	0.979657174276354	-0.293357766848374	0.339532756397363	-0.0560086782840457	0.989034959997633	-0.0632069382856297	0.879954991403964	0.137541605378564	0.495236180896781	-0.0696641766943714	0.879564357996252	0.00531189510919612	0.999825254749618	-0.171807351292417	0.999550711701349	0	1	0.0289069933089744	0.934559530581836	-0.276629015891808	0.162650613621237
ACADS	1.55626940811833e-05	0.999929773082783	-0.0970846375275123	0.862615380043477	-0.149105058750809	0.808626413119762	0.171159777428916	0.935567404675724	-0.0254392765448684	0.965596078751962	-0.0296693854134749	0.93339941945508	-0.0986749059450035	0.799615238740453	0.0262972819238936	0.999825254749618	-0.130048339650689	0.999550711701349	0	1	0.146335990254617	0.764971850156938	-0.239841343413292	0.651743163391371
ACAP3	-0.163980126391116	0.560821792764483	0.00277343925877227	0.998684757910168	-0.084985250447267	0.919047020653067	-0.112871984686033	0.970268115550373	-0.0684510809641682	0.889646912563195	0.0504472680375277	0.908924185684384	-0.00225643362199023	0.997951396028703	0.00687529943026695	0.999825254749618	0.170154778776737	0.999550711701349	0	1	0.0644169151799021	0.906110138558708	-0.232646120141901	0.534558714695049
ACBD3	0.14206612098111	0.438310191181171	0.127713346447196	0.627775092716449	-0.139716397173775	0.58732794638951	0.0503426420613146	0.988758631833133	-0.0527002401332894	0.88500886203094	0.103736596380017	0.701193437050246	-0.102137960398824	0.830563168954215	0.0869745149907704	0.999825254749618	0.0588265164104502	0.999550711701349	0	1	-0.0884871726493549	0.738240745824282	-0.0237051346175854	0.95481893239797
ACBD7	-0.03222876157588	0.907728015028094	-0.03002377673138	0.957718497134843	-0.0122542109943638	0.978754866524797	-0.0115904973236577	0.997206629392131	-0.00112455449945696	0.997688310867513	-0.0633627555831397	0.835148791231412	0.077551732151253	0.895825675975793	-0.0410794905550932	0.999825254749618	-0.0844917333091073	0.999550711701349	0	1	-0.338787766564509	0.234185104294806	-0.209923910519889	0.691131638021087
ACER1	0.018530023943198	0.980426974501976	0	1	0	1	-0.186990903502931	0.97945741857951	0.237215621304588	0.666504935949522	-0.0949140817764576	0.904103269388333	-0.106630976108705	0.960198590479467	0	1	-0.195177459017359	0.999550711701349	0	1	-0.394610073616714	0.707100657269893	0.0635622728738927	0.976595040288826
ACER3	0.177481185724699	0.23986621601753	0.0225027687098442	0.97086443299236	0.083792730127248	0.831145752987454	0.0190133208741563	0.997206629392131	-0.0440318770455562	0.911288057082402	0.0528182772896379	0.896728402266603	-0.0399418401579429	0.968767802877896	-0.113217683138658	0.999825254749618	0.128917011513465	0.999550711701349	0	1	-0.126730391110688	0.608392736591291	0.0829464304752634	0.822409298877039
ACIN1	0.0324990275681967	0.889271246486513	-0.0296352785974251	0.9452882264404	0.153287585512853	0.615856523722524	-0.126986621074191	0.875616856980202	-0.0593360180344321	0.8004961468272	-0.0451988758354807	0.786125246482118	0.0480453543370988	0.86435785246647	0.0724259951950336	0.999825254749618	-0.0330450090303013	0.999550711701349	0	1	-0.0404057313223504	0.871181099377225	-0.012059242629553	0.980850095974194
ACKR2	-0.223069118375306	0.120972813496219	-0.104386024387641	0.759255713288151	0.217473729297965	0.600032478196908	-0.292652641419384	0.787466720866	-0.003011933499381	0.996876519307896	-0.00990519557648613	0.982796815578264	-0.139222998122374	0.85054134790676	-0.274561280648786	0.999825254749618	0.0532280988457072	0.999550711701349	0	1	0.0512474189282107	0.956403374159243	-0.114286555494863	0.897774754024828
ACKR4	-0.119196842465331	0.483770727530746	-0.00774831700958313	0.99336500452248	-0.245746090872403	0.465514845724504	-0.0644453821782448	0.992718986802984	-0.0746565097060234	0.869285958485105	-0.0301657578976584	0.952086526885485	0.158676084094768	0.804766956638256	0.0897475495899145	0.999825254749618	-0.191462605491804	0.999550711701349	0	1	0.0709553815668463	0.919890833389453	-0.250180463447078	0.585950058736725
ACMSD	-0.210785613092584	0.345988197976614	-0.163634436117879	0.736213516138951	-0.140479945779386	0.748162204653666	-0.0890564042511966	0.982369156558786	0.134442540456331	0.670788120747154	0.0119329611237416	0.982220505943415	-0.109508990886846	0.860921276235623	0.0992500489724049	0.999825254749618	-0.398468083116514	0.718913911482962	0	1	-0.0233901917016782	0.958454684539861	-0.0600849635919811	0.895592232344702
ACOT13	-0.0811745813605731	0.687922547824765	-0.0667175614528929	0.806958222862769	-0.12772521379496	0.596139912297588	-0.0587439270801481	0.975213427203528	0.0530732229366748	0.851581994714097	0.0415862501359571	0.89547289115016	0.0981171569554133	0.819993167606769	-0.00719355715629594	0.999825254749618	-0.0942270027180888	0.999550711701349	0	1	0.131725326146426	0.730900513714942	0.0221368679885505	0.981540558553829
ACOT4	0.0220569845090125	0.969265478075058	0.29107641608155	0.439524486821185	-0.59739437645034	0.0796323562186732	-0.161988023994275	0.940537407049302	0.181256870732098	0.597401913948366	0.141450876916033	0.684337319106888	-0.154299802319196	0.767728552170322	0.298333274485517	0.956514007219594	-0.0483045667885988	0.999550711701349	0	1	0.273352215113351	0.457403418942541	-0.130410256581534	0.840430289212867
