nes_SW2	fdr_SW2	nes_SW3	fdr_SW3	nes_SW4	fdr_SW4	nes_SW5	fdr_SW5	nes_SW6	fdr_SW6	nes_SW7	fdr_SW7	nes_SW8	fdr_SW8	nes_SW9	fdr_SW9	nes_SW10	fdr_SW10	nes_SW11	fdr_SW11	nes_SW12	fdr_SW12	nes_SW13	fdr_SW13
ASCL4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASH1L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASXL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATF1	2.01450978718386	0.169654884892551	1.46304684495532	0.50233607720274	-1.03350569531084	0.631436261509202	-0.36586464781234	0.960987351416466	0.0830296131319943	0.969242265227846	0.195895713790913	0.983396149753082	0.63866078241467	0.767130658144325	0.630651506512353	0.78048069580747	1.1590608322374	0.812701932468276	0.217799864569807	0.926810809884879	-0.0433086331923605	0.987907963095337	0.920237754218347	0.644579314547706
ATF2	2.06656508874343	0.162396865139978	1.60742162140538	0.465718044142747	-0.418370449080115	0.875589835238301	-0.160598372444074	0.974299552633721	0.950796683943984	0.763275320386079	0.279797239847747	0.983396149753082	2.08910405924465	0.149511824984147	0.879348203121259	0.658686539165454	0.680643923561525	0.9015453106809	2.29922020821101	0.142153166220769	0.567386627391484	0.85373698861314	1.30923974507606	0.446705211865853
ATF3	-0.142378353873112	0.937875418277533	0.338689623652947	0.903159680574105	1.36828917471785	0.537550049371916	-0.2904847095762	0.960987351416466	0.145372960510311	0.969242265227846	0.609368208047299	0.983396149753082	0.411791738848297	0.848718133740846	-0.133387749670499	0.935550195900754	0.0784751053004807	0.992870520696487	1.32035998038663	0.44838227611702	0.994258065249055	0.744004202532665	-1.53633260758712	0.380284746371801
ATF4	0.231324657133797	0.903003658974763	-0.285587801748337	0.911398395246045	-0.613926750741437	0.815148881001516	0.162590153149201	0.974299552633721	-0.987873150348178	0.763275320386079	-0.165683346512545	0.983396149753082	2.22216982234144	0.137614353164617	0.207359569826558	0.919301960447727	-0.0209013661351098	0.997557773322935	2.05629288939727	0.206359747224373	-0.156987867074502	0.965832083967358	0.197418264065898	0.923234091568015
ATF5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATF6	0.872682065355104	0.629744274730925	-2.23239505209868	0.234564591691483	0.995926306495607	0.650397310624291	0.309498461406517	0.960987351416466	-0.76758088786856	0.807775246495283	-0.130571366985716	0.983396149753082	0.938167431266624	0.591187300180939	0.518594843622048	0.825400790284554	-2.21546190816335	0.332720149124215	1.08066164144658	0.559695303753031	-1.22300050129391	0.68828839727197	0.00284264461513573	0.998073987022391
ATF6B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
